,UserID,CourseCategory,TimeSpentOnCourse,NumberOfVideosWatched,NumberOfQuizzesTaken,QuizScores,CompletionRate,DeviceType,CourseCompletion
0,5618,Health,29.97971934613741,17,3,50.365655948359226,20.860772712321182,1,0
1,4326,Arts,27.802639509751515,1,5,62.61596979322466,65.63241524373352,1,0
2,5849,Arts,86.82048469711872,14,2,78.4589624023972,63.81200658802416,1,1
3,4992,Science,35.03842663461649,17,10,59.19885273381349,95.43316189339762,0,1
4,3866,Programming,92.4906469645332,16,0,98.42828500171674,18.102477525410755,0,0
5,8650,Health,79.46612884332329,12,7,70.2333289468058,76.48402324939777,0,1
6,4321,Health,78.9087242374251,10,2,86.83653261494925,22.588896140963342,1,0
7,4589,Business,12.06823675215978,16,3,61.55364646476677,27.410990874379625,1,0
8,4215,Business,81.93570917985394,8,4,90.26456414855328,33.30843667864675,0,1
9,8089,Programming,83.39402571104472,15,10,63.956352955520536,33.26129953014595,1,0
10,5010,Science,55.44885317072934,3,7,57.50783648915665,80.63469702926727,0,0
11,8791,Arts,27.265330641921476,17,9,70.99850119498619,0.1283363229380274,0,0
12,4101,Arts,12.262483785584529,13,1,68.54184823678045,48.91869023749844,1,0
13,3039,Programming,33.79016764768902,1,5,97.70588953857865,77.31223562370481,0,1
14,3379,Science,40.787972087640696,7,3,72.02018992210475,87.47619949726861,1,1
15,5700,Science,37.74623794822219,10,8,93.30974857144088,95.8903217174662,0,1
16,7567,Programming,36.36982127760847,8,10,71.74027659522311,43.54888955385587,1,1
17,8772,Health,26.67976913466473,15,8,64.15505767450269,21.184777691520363,1,0
18,6817,Business,11.17804761184954,20,5,78.02583213062266,55.69746684173562,0,0
19,2866,Health,56.70844279087808,6,8,81.38063449593083,49.176911118789945,0,1
20,3134,Science,90.89545275723644,11,9,82.80335560655193,76.06002032466282,1,1
21,2716,Science,19.220062447323222,6,4,70.24297667055698,69.88922262914392,1,1
22,3153,Arts,24.988750032357324,6,9,64.48616706067624,7.433288004684602,1,0
23,6584,Business,33.48224410834035,3,9,59.8758706754866,78.58320720339476,0,0
24,230,Science,57.668364870808745,0,5,92.00831477467004,35.024928003816655,0,0
25,8813,Programming,33.8079156819551,12,1,53.6597605659185,89.9525527538609,0,1
26,3103,Programming,48.54343463363164,3,7,50.46763175521277,50.99683171875333,0,0
27,1274,Science,56.94215602063267,7,6,80.37425848450256,61.12697845853356,0,1
28,2398,Programming,40.81348180255279,15,0,55.02883721210786,56.94624076543875,0,0
29,8529,Programming,12.805246220606858,6,9,51.85830564221426,86.30231756665131,0,0
30,7858,Arts,64.89874148516614,13,6,97.3401987109964,68.02150504513817,1,1
31,7050,Programming,44.70916758562794,5,8,76.9412180222065,17.541934124071844,0,0
32,1676,Arts,44.463895154064346,16,10,51.70151786760175,53.400707703532966,0,0
33,4931,Business,79.92671792725722,18,3,82.8515882752971,69.03969779917355,1,1
34,1847,Programming,66.23533659953954,3,4,54.642636585229226,59.146139308126656,1,0
35,6083,Health,27.30889124247948,17,3,90.02120477161247,7.434988155754207,0,0
